loss,lr,sup_loss
0.6210404049072947,0.0001,
0.42117722226040705,9.891830623632339e-05,
0.3169270381331444,9.572050015330874e-05,
0.2469271400145122,9.05463412215599e-05,
0.1943877711892128,8.362196501476348e-05,
0.15923184103199414,7.525e-05,
0.1348945094006402,6.57963412215599e-05,
0.11936813433255468,5.5674158931748854e-05,
0.10760749078222684,4.532584106825116e-05,
0.10036594926246575,3.5203658778440106e-05,
0.09459261409938335,2.5750000000000013e-05,
0.09210721323532718,1.7378034985236535e-05,
0.09014306270650455,1.0453658778440109e-05,
0.08869244983153683,5.279499846691251e-06,
0.08838038119886603,2.0816937636766186e-06,
0.08363793337983745,0.0001,
0.07622195141656059,9.972883382072954e-05,
0.07062746744070734,9.891830623632339e-05,
0.06527592773948397,9.757729755661011e-05,
0.061439487018755505,9.572050015330874e-05,
0.05891972913273743,9.336825748732972e-05,
0.056304364066038816,9.05463412215599e-05,
0.05494729229914291,8.728566886113102e-05,
0.053652300499379635,8.362196501476348e-05,
0.05239925906062126,7.959536998847742e-05,
0.0516848461702466,7.525e-05,
0.05099001859447786,7.063346383225212e-05,
0.05078609048255852,6.57963412215599e-05,
0.049652229728443284,6.079162869547908e-05,
0.049293541482516696,5.5674158931748854e-05,
0.048875421418675354,5.0500000000000015e-05,
0.0485433375995074,4.532584106825116e-05,
0.04783718101680279,4.020837130452091e-05,
0.047471590739275725,3.5203658778440106e-05,
0.04725591306175504,3.0366536167747902e-05,
0.04657281269984586,2.5750000000000013e-05,
0.04658460923071418,2.1404630011522586e-05,
0.0460611330345273,1.7378034985236535e-05,
0.04591449270290988,1.3714331138868997e-05,
0.045480090592588694,1.0453658778440109e-05,
0.04535035669271435,7.631742512670284e-06,
0.04516040187861238,5.279499846691251e-06,
0.04541022503482444,3.4227024433899e-06,
0.04519492946565151,2.0816937636766186e-06,
0.04528023914567062,1.2711661792704665e-06,
0.045002478174865246,0.0001,
0.04443175744797502,9.99321619703514e-05,
0.043970459406929355,9.972883382072954e-05,
0.04340014087834528,9.939057285945933e-05,
0.043034695221909454,9.891830623632339e-05,
0.04294791644705193,2.9493998520392662e-05,1.0354148457127232
0.04929752674485956,9.757729755661011e-05,1.0069936475446146
0.055117223278752396,9.671223111161149e-05,0.9499165088899674
0.05322224394019161,9.572050015330874e-05,0.8701174528368057
0.059737456164189746,9.460482294732421e-05,0.7745449081543954
0.07537015766969749,9.336825748732972e-05,0.6846404344804825
0.08569094232682671,9.20141931132985e-05,0.5933883824656087
0.07449472083577088,9.05463412215599e-05,0.5297298142986913
0.07333765937281507,8.896872509212006e-05,0.46311575174331665
0.07275454859648432,8.728566886113102e-05,0.4128711954239876
0.0636182375518339,8.55017856687341e-05,0.3711248299767894
0.05898057350090572,8.362196501476348e-05,0.3423995308337673
0.060834793506988456,8.165135935696696e-05,0.3202377865391393
0.059320955138121335,7.959536998847742e-05,0.3093824799983732
0.059261758412633626,7.745963223324384e-05,0.29823047114956763
0.05699698507253613,7.525e-05,0.29310546334712734
0.05501675472727844,7.297252973710757e-05,0.28323946027986463
0.05427713625665222,7.063346383225212e-05,0.27477141445682896
0.05498778487422636,6.823921350249237e-05,0.26548093941903883
0.0532536477382694,6.57963412215599e-05,0.2565318672887741
0.05362471578908818,6.331154273257477e-05,0.25190444675184065
0.05202779373420136,6.079162869547908e-05,0.2468442335244148
0.050727074832788537,5.8243506019491436e-05,0.24358500876734335
0.050786899269691536,5.5674158931748854e-05,0.2361287599609744
0.04938039622668709,5.3090629834025715e-05,0.23329221289004048
0.049330681429377625,5.0500000000000015e-05,0.22846845128843862
0.05014073768896716,4.7909370165974294e-05,0.223630037038557
0.04930263797619513,4.532584106825116e-05,0.2221192212835435
0.04924818381134953,4.275649398050857e-05,0.21858548925768945
0.04890317948801177,4.020837130452091e-05,0.21391516779699632
0.04920961428433657,3.768845726742523e-05,0.2114703679277051
0.0493161299132875,3.5203658778440106e-05,0.21012849673148123
0.04877596987145288,3.2760786497507636e-05,0.2065470261919883
0.04824251601738589,3.0366536167747902e-05,0.2040289073221145
0.0485636925856982,2.8027470262892437e-05,0.20081810557073163
0.04893419213060822,2.5750000000000013e-05,0.2009236798171074
0.04925846388297422,2.3540367766756178e-05,0.1977929679616805
0.047406052106193135,2.1404630011522586e-05,0.1989768647378491
0.04799670300313404,1.9348640643033057e-05,0.19726278080094245
0.0482086395578725,1.7378034985236535e-05,0.19609754508541477
0.048127331770956516,1.54982143312659e-05,0.1937282133486963
0.048162383160420826,1.3714331138868997e-05,0.19374755890138687
0.04806899851454156,1.2031274907879942e-05,0.19189349922441667
0.048007594155413766,1.0453658778440109e-05,0.1917202434232158
0.04730417127055781,8.985806886701515e-06,0.18998366498178051
0.048102786631456444,7.631742512670284e-06,0.19037009823706844
0.04897172203553574,6.395177052675795e-06,0.1889544355292474
0.04811876320413181,5.279499846691251e-06,0.18915843386803904
0.04801535499947412,4.287768888388514e-06,0.18803323853400447
0.04710184596478939,3.4227024433899e-06,0.18753093817541677
0.047348792265568464,2.6866715986911185e-06,0.18688526076655235
0.04707632799233709,2.0816937636766186e-06,0.18709482348734333
0.0476448791367667,1.6094271405406859e-06,0.1878601009807279
0.04728547510291849,1.2711661792704665e-06,0.18814519432283217
0.04744564648717642,1.0678380296485951e-06,0.187388859929577
0.04764947095619781,0.0001,0.19300432214813848
0.048292968688266616,9.998303758629009e-05,0.1904999541659509
0.047598451509007385,9.99321619703514e-05,0.18477607302127347
0.04819508974573442,9.984740801978984e-05,0.17911548047296463
0.04676951627646174,9.972883382072954e-05,0.17766822730341264
0.047121199779212475,9.957652063800363e-05,0.16686548196500348
0.04731497208454779,9.939057285945933e-05,0.16485954340427153
0.046383868636829514,9.917111792441576e-05,0.1667289839636895
0.04560835127319608,9.891830623632339e-05,0.16175581274494047
0.04501228752945151,9.8632311059685e-05,0.1576084564289739
0.045064643025398254,9.831332840130888e-05,0.15201486262582964
0.04429859734539475,9.796157687597556e-05,0.15410966329997586
0.04501641581633261,9.757729755661011e-05,0.14725248227196355
0.04466848580964974,9.716075380906284e-05,0.1514632036128352
0.04492222664079496,9.671223111161149e-05,0.14880721463311103
0.04397519079170057,9.623203685930869e-05,0.15070898374242167
0.04363328830472061,9.572050015330874e-05,0.14755875689368095
0.04440961046410458,9.517797157531811e-05,0.14182502079394557
0.04327343790126698,9.460482294732421e-05,0.13777040137398627
0.043149059771427085,9.400144707676729e-05,0.13575696560644335
0.044046866707503796,9.336825748732972e-05,0.14058434410441306
0.04457803030631372,9.270568813552756e-05,0.1461825940397478
0.041872305263366015,9.20141931132985e-05,0.12969477282416436
0.045062177548451085,9.129424633678978e-05,0.1351353744826009
0.04234502823757274,9.05463412215599e-05,0.13342533885471283
0.04234436008014849,8.977099034441615e-05,0.12927097490718287
0.04198497573712042,8.896872509212006e-05,0.12668302462946984
0.04124602489173412,8.814009529720155e-05,0.13010386954392156
0.04092860607696431,8.728566886113102e-05,0.13225825179007747
0.04062418027647904,8.640603136510824e-05,0.1318379371396957
0.04016451644045966,8.55017856687341e-05,0.13240908566982515
0.041427112849695344,8.457355149684082e-05,0.12170858873474982
0.040975170875234265,8.362196501476348e-05,0.1286214469901977
0.03977631923875639,8.26476783923441e-05,0.12034937715338122
0.03905402948813779,8.165135935696696e-05,0.12757015492646925
0.03706108858542783,8.063369073593168e-05,0.12055659630606251
0.03589206415095499,7.959536998847742e-05,0.11980699747800827
0.03525049425661564,7.853710872777923e-05,0.12087344017720991
0.0350637658100043,7.745963223324384e-05,0.11746936844241235
0.034551125418926985,7.636367895343946e-05,0.11322360413689767
0.0343271383483495,7.525e-05,0.11550995226829283
0.034094836962010176,7.411935863285063e-05,0.11194800513405953
0.03414035867899656,7.297252973710757e-05,0.11299963535801057
0.03403644769319466,7.181029929201061e-05,0.11313604827850096
0.03436245622911623,7.063346383225212e-05,0.11345006116936283
